time,game,money_spent,balance
01/11/2024 23:41:26,slotMachine,100,24500
01/11/2024 23:41:26,slotMachine,100,24400
01/11/2024 23:41:27,slotMachine,100,24300
01/11/2024 23:41:27,slotMachine,100,27200
01/11/2024 23:41:27,slotMachine,100,27100
01/11/2024 23:41:27,slotMachine,100,30000
01/11/2024 23:41:28,slotMachine,100,29900
01/11/2024 23:41:28,slotMachine,100,29800
01/11/2024 23:41:28,slotMachine,100,29700
01/11/2024 23:41:28,slotMachine,100,29600
01/11/2024 23:41:29,slotMachine,100,29500
01/11/2024 23:41:29,slotMachine,100,29400
01/11/2024 23:41:29,slotMachine,100,29300
01/11/2024 23:41:30,slotMachine,100,32200
01/11/2024 23:41:30,slotMachine,100,32100
01/11/2024 23:41:30,slotMachine,100,32000
01/11/2024 23:41:30,slotMachine,100,31900
01/11/2024 23:41:31,slotMachine,100,31800
01/11/2024 23:41:31,slotMachine,100,31700
01/11/2024 23:41:31,slotMachine,100,31600
01/11/2024 23:41:31,slotMachine,100,31500
01/11/2024 23:41:32,slotMachine,100,31400
01/11/2024 23:41:32,slotMachine,100,31300
01/11/2024 23:41:32,slotMachine,100,31200
01/11/2024 23:41:32,slotMachine,100,31100
01/11/2024 23:41:33,slotMachine,100,31000
01/11/2024 23:41:33,slotMachine,100,30900
01/11/2024 23:41:33,slotMachine,100,30800
01/11/2024 23:41:34,slotMachine,100,30700
01/11/2024 23:41:34,slotMachine,100,32100
01/11/2024 23:41:34,slotMachine,100,32000
01/11/2024 23:41:34,slotMachine,100,31900
01/11/2024 23:41:34,slotMachine,100,31800
01/11/2024 23:41:35,slotMachine,100,33200
01/11/2024 23:41:35,slotMachine,100,36100
01/11/2024 23:41:35,slotMachine,100,37500
01/11/2024 23:41:36,slotMachine,100,38900
01/11/2024 23:41:36,slotMachine,100,41800
01/11/2024 23:41:36,slotMachine,100,44700
01/11/2024 23:41:36,slotMachine,100,44600
01/11/2024 23:41:37,slotMachine,100,44500
01/11/2024 23:41:37,slotMachine,100,45900
01/11/2024 23:41:37,slotMachine,100,45800
01/11/2024 23:41:38,slotMachine,100,45700
01/11/2024 23:41:38,slotMachine,100,45600
01/11/2024 23:41:39,slotMachine,100,45500
01/11/2024 23:41:39,slotMachine,100,45400
01/11/2024 23:41:39,slotMachine,100,46800
01/11/2024 23:41:40,slotMachine,100,46700
01/11/2024 23:41:41,slotMachine,100,46600
01/11/2024 23:41:41,slotMachine,100,46500
01/11/2024 23:41:41,slotMachine,100,46400
01/11/2024 23:41:41,slotMachine,100,46300
01/11/2024 23:41:42,slotMachine,100,46200
01/11/2024 23:41:42,slotMachine,100,46100
01/11/2024 23:41:42,slotMachine,100,46000
01/11/2024 23:41:43,slotMachine,100,51900
01/11/2024 23:41:43,slotMachine,100,51800
01/11/2024 23:41:43,slotMachine,100,53200
01/11/2024 23:41:43,slotMachine,100,53100
01/11/2024 23:41:43,slotMachine,100,54500
01/11/2024 23:41:43,slotMachine,100,54400
01/11/2024 23:41:44,slotMachine,100,60300
01/11/2024 23:41:45,slotMachine,100,61700
01/11/2024 23:41:45,slotMachine,100,63100
01/11/2024 23:41:45,slotMachine,100,63000
01/11/2024 23:41:46,slotMachine,100,62900
01/11/2024 23:41:46,slotMachine,100,62800
01/11/2024 23:41:47,slotMachine,100,62700
01/11/2024 23:41:47,slotMachine,100,62600
01/11/2024 23:41:51,slotMachine,100,64000
01/11/2024 23:41:52,slotMachine,100,63900
01/11/2024 23:41:52,slotMachine,100,63800
01/11/2024 23:41:53,slotMachine,100,66700
01/11/2024 23:41:53,slotMachine,100,66600
01/11/2024 23:41:53,slotMachine,100,66500
01/11/2024 23:41:54,slotMachine,100,66400
01/11/2024 23:41:54,slotMachine,100,66300
01/11/2024 23:41:54,slotMachine,100,66200
01/11/2024 23:41:54,slotMachine,100,66100
01/11/2024 23:41:55,slotMachine,100,66000
01/11/2024 23:41:55,slotMachine,100,65900
01/11/2024 23:41:55,slotMachine,100,65800
01/11/2024 23:41:56,slotMachine,100,65700
01/11/2024 23:41:56,slotMachine,100,65600
01/11/2024 23:41:56,slotMachine,100,65500
01/11/2024 23:41:57,slotMachine,100,66900
01/11/2024 23:41:57,slotMachine,100,66800
01/11/2024 23:41:57,slotMachine,100,72700
01/11/2024 23:43:15,slotMachine,100,227100
01/11/2024 23:43:16,slotMachine,100,381500
01/11/2024 23:43:17,slotMachine,100,535900
01/11/2024 23:43:17,slotMachine,100,690300
01/11/2024 23:43:18,slotMachine,100,844700
01/11/2024 23:43:18,slotMachine,100,999100
01/11/2024 23:43:51,slotMachine,100,1000000
01/11/2024 23:44:00,slotMachine,100,1999900
01/11/2024 23:44:39,slotMachine,100,400
01/11/2024 23:44:39,slotMachine,100,300
01/11/2024 23:44:41,slotMachine,100,200
01/11/2024 23:44:41,slotMachine,100,100
01/11/2024 23:44:42,slotMachine,100,0
03/11/2024 00:47:20,flip_coin,1000,0
03/11/2024 00:47:29,flip_coin,1000,-1000
03/11/2024 01:01:12,slotMachine,100,2400
03/11/2024 01:01:12,slotMachine,100,2300
03/11/2024 01:01:13,slotMachine,100,2200
03/11/2024 01:01:13,slotMachine,100,2100
03/11/2024 01:01:13,slotMachine,100,2000
03/11/2024 01:01:14,slotMachine,100,1900
03/11/2024 01:01:14,slotMachine,100,1800
03/11/2024 01:01:14,slotMachine,100,1700
03/11/2024 01:01:14,slotMachine,100,1600
03/11/2024 01:01:15,slotMachine,100,3000
03/11/2024 01:01:15,slotMachine,100,2900
03/11/2024 01:01:15,slotMachine,100,2800
03/11/2024 01:01:15,slotMachine,100,4200
03/11/2024 01:01:16,slotMachine,100,5600
03/11/2024 01:01:16,slotMachine,100,5500
03/11/2024 01:01:16,slotMachine,100,5400
03/11/2024 01:01:16,slotMachine,100,5300
03/11/2024 01:01:17,slotMachine,100,5200
03/11/2024 01:01:26,slotMachine,100,2400
03/11/2024 01:02:17,slotMachine,100,900
03/11/2024 01:02:18,slotMachine,100,800
03/11/2024 01:02:18,slotMachine,100,700
03/11/2024 01:02:19,slotMachine,100,600
03/11/2024 01:02:19,slotMachine,100,500
03/11/2024 01:02:19,slotMachine,100,400
03/11/2024 01:02:19,slotMachine,100,300
03/11/2024 01:02:19,slotMachine,100,200
03/11/2024 01:02:20,slotMachine,100,100
03/11/2024 01:02:20,slotMachine,100,0
03/11/2024 01:11:39,flip_coin,1000,0
03/11/2024 01:23:51,dice,1000,7000
03/11/2024 01:24:43,dice,1000,0
03/11/2024 01:44:18,dice,1000,7000
03/11/2024 01:44:52,dice,1000,7000
03/11/2024 01:52:31,slotMachine,100,900
03/11/2024 01:52:32,slotMachine,100,2300
03/11/2024 01:52:32,slotMachine,100,3700
